,from,to,weight,type
0,112,A09,180,1
1,125,A24,180,1
2,127,725,180,1
3,127,902,180,1
4,127,A27,300,1
5,127,R16,180,1
6,132,D19,300,1
7,132,L02,180,1
8,140,R27,120,1
9,222,415,180,1
10,228,A36,180,1
11,228,E01,180,1
12,228,R25,420,1
13,229,418,300,1
14,229,A38,180,1
15,229,M22,300,1
16,232,423,300,1
17,232,R28,180,1
18,235,D24,180,1
19,235,R31,180,1
20,239,S04,180,1
21,254,L26,300,1
22,414,D11,180,1
23,415,222,180,1
24,418,229,300,1
25,418,A38,180,1
26,418,M22,300,1
27,423,232,300,1
28,423,R28,180,1
29,629,B08,300,1
30,629,R11,180,1
31,630,F11,180,1
32,631,723,180,1
33,631,901,180,1
34,635,L03,180,1
35,635,R20,180,1
36,637,D21,180,1
37,639,M20,180,1
38,639,Q01,180,1
39,639,R23,180,1
40,640,M21,180,1
41,710,G14,180,1
42,718,R09,0,1
43,719,F09,300,1
44,719,G22,180,1
45,723,631,180,1
46,723,901,300,1
47,724,D16,180,1
48,725,127,180,1
49,725,902,300,1
50,725,A27,180,1
51,725,R16,180,1
52,901,631,180,1
53,901,723,300,1
54,902,127,180,1
55,902,725,300,1
56,902,A27,300,1
57,902,R16,180,1
58,A09,112,180,1
59,A12,D13,180,1
60,A24,125,180,1
61,A27,127,300,1
62,A27,725,180,1
63,A27,902,300,1
64,A27,R16,300,1
65,A31,L01,90,1
66,A32,D20,180,1
67,A36,228,180,1
68,A36,E01,300,1
69,A36,R25,420,1
70,A38,229,180,1
71,A38,418,180,1
72,A38,M22,180,1
73,A41,R29,90,1
74,A45,S01,180,1
75,A51,J27,180,1
76,A51,L22,180,1
77,B08,629,300,1
78,B08,R11,300,1
79,B16,N04,180,1
80,D11,414,180,1
81,D13,A12,180,1
82,D16,724,180,1
83,D17,R17,180,1
84,D19,132,300,1
85,D19,L02,180,1
86,D20,A32,180,1
87,D21,637,180,1
88,D24,235,180,1
89,D24,R31,300,1
90,E01,228,180,1
91,E01,A36,300,1
92,E01,R25,240,1
93,F09,719,300,1
94,F09,G22,180,1
95,F11,630,180,1
96,F15,M18,180,1
97,F23,R33,180,1
98,G14,710,180,1
99,G22,719,180,1
100,G22,F09,180,1
101,G29,L10,180,1
102,J27,A51,180,1
103,J27,L22,180,1
104,L01,A31,90,1
105,L02,132,180,1
106,L02,D19,180,1
107,L03,635,180,1
108,L03,R20,180,1
109,L10,G29,180,1
